Year,Culpro(MT),Cappro(MT),World_Import,China_Import
1972,2340,,,
1973,2640,,,
1974,2970,,,
1975,3340,,,
1976,3760,,,
1977,4230,,,
1978,4760,,,
1979,5360,,,
1980,6030,,,
1981,6780,,,
1982,7630,,,
1983,8000,,,
1984,8219,1919,,
1985,11282,1252,,
1986,14658,7418,,
1987,14773,15660,,
1988,16577,15774,7154.437,
1989,18235,17151,6993.357,
1990,18624,17039,7234.077,
1991,19555,17500,12285.323,
1992,21000,17638,15877.574,11.875
1993,28525,20520,23590.823,288.174
1994,28763,21519,25584.132,272.026
1995,34030,20363,26083.304,128.358
1996,46223,24288,31213.474,151.431
1997,52272,28027,30339.409,305.437
1998,62167,31027,22366.661,223.42
1999,63164,31742,31872.252,550.124
2000,64647,31395,44407.504,495.446
2001,64970,31037,38419.698,75.235
2002,65579,31976,44906.882,17.788
2003,66703,31931,45025.077,166.528
2004,75167,36488,59638.5582,142.392
2005,82661,44261,58394.061,170.068
2006,85510,48119,60073.671,697.499
2007,86840,51869,57837.45187,1500.528
2008,90574,132521,61573.32171,1404.829
2009,102852,147225,60712.04923,1954.417
2010,87984,186892,57159.22272,3655.696
2011,127339,112121,56106.79386,5424.077
2012,137174,115348,53397.1861,5458.534
2013,140261,86906,60048.45952,6498.017
2014,130192,93596,52099.573,6664.937
2015,132794,97450,45733.47386,7088.134
2016,145673,101222,48305.07628,6002.373531
2017,153573,107622,46784.38728,7185.726
2018,142708,116383,44306.03286,8797.271
2019,145832,106106,43593.8016,8166.098
2020,147747,106096,34886.40595,2622.762
2021,151776,112525,37843.83898,495.712
2022,158610,115941,33567.67094,932.919
2023,165937,118246,31063.20237,5928.819
2024,,,31887.33658,8478.416
